TGL,Airline,delay,delay_normalized
2023-01-01,Batik Air,10.0,0.4427083333333333
2023-01-01,Citilink,34.0,0.4677083333333333
2023-01-01,Lion Air,8.0,0.440625
2023-01-01,Garuda Indonesia,13.0,0.4458333333333333
2023-01-01,,44.0,0.478125
2023-01-01,Batik Air,11.0,0.44375
2023-01-01,,18.0,0.4510416666666667
2023-01-01,Lion Air,27.0,0.4604166666666666
2023-01-01,,4.0,0.4364583333333333
2023-01-01,My Indo Airlines,42.0,0.4760416666666666
2023-01-01,My Indo Airlines,2.0,0.434375
2023-01-01,Batik Air,15.0,0.4479166666666667
2023-01-01,Citilink,55.0,0.4895833333333333
2023-01-01,Batik Air,14.0,0.446875
2023-01-01,,100.0,0.5364583333333334
2023-01-01,,91.0,0.5270833333333333
2023-01-01,Lion Air,10.0,0.4427083333333333
2023-01-01,Garuda Indonesia,3.0,0.4354166666666667
2023-01-01,Lion Air,112.0,0.5489583333333333
2023-01-01,Wings Air,37.0,0.4708333333333333
2023-01-01,NamAir,32.0,0.465625
2023-01-02,,12.0,0.4447916666666666
2023-01-02,Batik Air,11.0,0.44375
2023-01-02,Citilink,22.0,0.4552083333333333
2023-01-02,Lion Air,8.0,0.440625
2023-01-02,Garuda Indonesia,11.0,0.44375
2023-01-02,,77.0,0.5125
2023-01-02,Batik Air,39.0,0.4729166666666666
2023-01-02,,20.0,0.453125
2023-01-02,Batik Air,4.0,0.4364583333333333
2023-01-02,Batik Air,6.0,0.4385416666666666
2023-01-02,Lion Air,9.0,0.4416666666666666
2023-01-02,Batik Air,26.0,0.459375
2023-01-02,Garuda Indonesia,29.0,0.4625
2023-01-02,Citilink,19.0,0.4520833333333333
2023-01-02,Lion Air,17.0,0.45
2023-01-02,Garuda Indonesia,10.0,0.4427083333333333
2023-01-02,Batik Air,10.0,0.4427083333333333
2023-01-02,Lion Air,4.0,0.4364583333333333
2023-01-03,,5.0,0.4375
2023-01-03,Wings Air,2.0,0.434375
2023-01-03,NamAir,14.0,0.446875
2023-01-03,Batik Air,12.0,0.4447916666666666
2023-01-03,Batik Air,5.0,0.4375
2023-01-03,Garuda Indonesia,9.0,0.4416666666666666
2023-01-03,Lion Air,69.0,0.5041666666666667
2023-01-03,,25.0,0.4583333333333333
2023-01-03,Citilink,4.0,0.4364583333333333
2023-01-03,Lion Air,30.0,0.4635416666666667
2023-01-03,Citilink,16.0,0.4489583333333333
2023-01-03,NamAir,25.0,0.4583333333333333
2023-01-03,Wings Air,49.0,0.4833333333333333
2023-01-03,Batik Air,14.0,0.446875
2023-01-03,Batik Air,4.0,0.4364583333333333
2023-01-03,Wings Air,22.0,0.4552083333333333
2023-01-03,Garuda Indonesia,10.0,0.4427083333333333
2023-01-03,Lion Air,9.0,0.4416666666666666
2023-01-03,Garuda Indonesia,16.0,0.4489583333333333
2023-01-03,Citilink,9.0,0.4416666666666666
2023-01-03,Batik Air,11.0,0.44375
2023-01-03,Lion Air,13.0,0.4458333333333333
2023-01-04,Batik Air,27.0,0.4604166666666666
2023-01-04,Citilink,17.0,0.45
2023-01-04,My Indo Airlines,8.0,0.440625
2023-01-04,Wings Air,1.0,0.4333333333333333
2023-01-04,Garuda Indonesia,5.0,0.4375
2023-01-04,,10.0,0.4427083333333333
2023-01-04,Lion Air,44.0,0.478125
2023-01-04,Sriwijaya Air,29.0,0.4625
2023-01-04,Citilink,26.0,0.459375
2023-01-04,Batik Air,41.0,0.475
2023-01-04,Batik Air,24.0,0.4572916666666666
2023-01-04,Lion Air,17.0,0.45
2023-01-04,Batik Air,25.0,0.4583333333333333
2023-01-04,Garuda Indonesia,15.0,0.4479166666666667
2023-01-04,NamAir,7.0,0.4395833333333333
2023-01-04,Lion Air,7.0,0.4395833333333333
2023-01-04,My Indo Airlines,52.0,0.4864583333333333
2023-01-04,Garuda Indonesia,5.0,0.4375
2023-01-04,Batik Air,14.0,0.446875
2023-01-04,Lion Air,1.0,0.4333333333333333
2023-01-04,Wings Air,20.0,0.453125
2023-01-05,Lion Air,20.0,0.453125
2023-01-05,Wings Air,19.0,0.4520833333333333
2023-01-05,NamAir,4.0,0.4364583333333333
2023-01-05,Citilink,33.0,0.4666666666666667
2023-01-05,,13.0,0.4458333333333333
2023-01-05,Garuda Indonesia,3.0,0.4354166666666667
2023-01-05,Lion Air,109.0,0.5458333333333333
2023-01-05,Citilink,41.0,0.475
2023-01-05,Batik Air,47.0,0.48125
2023-01-05,Batik Air,12.0,0.4447916666666666
2023-01-05,Lion Air,26.0,0.459375
2023-01-05,Batik Air,12.0,0.4447916666666666
2023-01-05,Wings Air,8.0,0.440625
2023-01-05,Garuda Indonesia,86.0,0.521875
2023-01-05,My Indo Airlines,234.0,0.6760416666666667
2023-01-05,Lion Air,5.0,0.4375
2023-01-05,Garuda Indonesia,2.0,0.434375
2023-01-05,Batik Air,35.0,0.46875
2023-01-05,Wings Air,22.0,0.4552083333333333
2023-01-05,Wings Air,9.0,0.4416666666666666
2023-01-06,Citilink,26.0,0.459375
2023-01-06,Sriwijaya Air,122.0,0.559375
2023-01-06,Lion Air,255.0,0.6979166666666666
2023-01-06,,4.0,0.4364583333333333
2023-01-06,Wings Air,14.0,0.446875
2023-01-06,My Indo Airlines,8.0,0.440625
2023-01-06,Batik Air,2.0,0.434375
2023-01-06,Citilink,41.0,0.475
2023-01-06,Lion Air,11.0,0.44375
2023-01-06,Batik Air,11.0,0.44375
2023-01-06,Lion Air,3.0,0.4354166666666667
2023-01-06,Wings Air,22.0,0.4552083333333333
2023-01-06,NamAir,29.0,0.4625
2023-01-06,Garuda Indonesia,7.0,0.4395833333333333
2023-01-06,Citilink,16.0,0.4489583333333333
2023-01-07,Citilink,92.0,0.528125
2023-01-07,Lion Air,15.0,0.4479166666666667
2023-01-07,Garuda Indonesia,13.0,0.4458333333333333
2023-01-07,,21.0,0.4541666666666666
2023-01-07,Batik Air,32.0,0.465625
2023-01-07,Batik Air,8.0,0.440625
2023-01-07,Citilink,40.0,0.4739583333333333
2023-01-07,Batik Air,9.0,0.4416666666666666
2023-01-07,Wings Air,7.0,0.4395833333333333
2023-01-07,Lion Air,13.0,0.4458333333333333
2023-01-07,Batik Air,22.0,0.4552083333333333
2023-01-07,Garuda Indonesia,1.0,0.4333333333333333
2023-01-07,Wings Air,3.0,0.4354166666666667
2023-01-07,Batik Air,7.0,0.4395833333333333
2023-01-07,,6.0,0.4385416666666666
2023-01-08,Lion Air,19.0,0.4520833333333333
2023-01-08,Wings Air,6.0,0.4385416666666666
2023-01-08,My Indo Airlines,30.0,0.4635416666666667
2023-01-08,Batik Air,55.0,0.4895833333333333
2023-01-08,Batik Air,19.0,0.4520833333333333
2023-01-08,Garuda Indonesia,12.0,0.4447916666666666
2023-01-08,Lion Air,75.0,0.5104166666666666
2023-01-08,Citilink,11.0,0.44375
2023-01-08,Batik Air,15.0,0.4479166666666667
2023-01-08,,11.0,0.44375
2023-01-08,My Indo Airlines,72.0,0.5072916666666667
2023-01-08,Batik Air,3.0,0.4354166666666667
2023-01-08,Lion Air,2.0,0.434375
2023-01-08,Wings Air,15.0,0.4479166666666667
2023-01-08,Lion Air,14.0,0.446875
2023-01-08,Citilink,6.0,0.4385416666666666
2023-01-08,Batik Air,49.0,0.4833333333333333
2023-01-08,Lion Air,7.0,0.4395833333333333
2023-01-08,Wings Air,18.0,0.4510416666666667
2023-01-08,Garuda Indonesia,29.0,0.4625
2023-01-08,Citilink,53.0,0.4875
2023-01-09,,2.0,0.434375
2023-01-09,Batik Air,52.0,0.4864583333333333
2023-01-09,Sriwijaya Air,76.0,0.5114583333333333
2023-01-09,Citilink,13.0,0.4458333333333333
2023-01-09,Lion Air,134.0,0.571875
2023-01-09,Garuda Indonesia,6.0,0.4385416666666666
2023-01-09,,55.0,0.4895833333333333
2023-01-09,Batik Air,57.0,0.4916666666666666
2023-01-09,NamAir,27.0,0.4604166666666666
2023-01-09,Wings Air,11.0,0.44375
2023-01-09,Batik Air,120.0,0.5572916666666666
2023-01-09,Wings Air,2.0,0.434375
2023-01-09,Lion Air,8.0,0.440625
2023-01-09,Batik Air,34.0,0.4677083333333333
2023-01-09,Citilink,15.0,0.4479166666666667
2023-01-09,Wings Air,3.0,0.4354166666666667
2023-01-09,Garuda Indonesia,9.0,0.4416666666666666
2023-01-09,Batik Air,9.0,0.4416666666666666
2023-01-09,Lion Air,4.0,0.4364583333333333
2023-01-09,Citilink,32.0,0.465625
2023-01-10,Citilink,32.0,0.465625
2023-01-10,Batik Air,12.0,0.4447916666666666
2023-01-10,Lion Air,12.0,0.4447916666666666
2023-01-10,Wings Air,13.0,0.4458333333333333
2023-01-10,Citilink,13.0,0.4458333333333333
2023-01-10,Garuda Indonesia,20.0,0.453125
2023-01-10,Lion Air,58.0,0.4927083333333333
2023-01-10,NamAir,19.0,0.4520833333333333
2023-01-10,Batik Air,8.0,0.440625
2023-01-10,,27.0,0.4604166666666666
2023-01-10,Wings Air,14.0,0.446875
2023-01-10,NamAir,70.0,0.5052083333333334
2023-01-10,Batik Air,10.0,0.4427083333333333
2023-01-10,Wings Air,18.0,0.4510416666666667
2023-01-10,Batik Air,4.0,0.4364583333333333
2023-01-10,Wings Air,6.0,0.4385416666666666
2023-01-10,Lion Air,16.0,0.4489583333333333
2023-01-10,Citilink,48.0,0.4822916666666667
2023-01-10,Garuda Indonesia,7.0,0.4395833333333333
2023-01-11,Wings Air,6.0,0.4385416666666666
2023-01-11,Batik Air,140.0,0.578125
2023-01-11,Citilink,16.0,0.4489583333333333
2023-01-11,Lion Air,26.0,0.459375
2023-01-11,Garuda Indonesia,13.0,0.4458333333333333
2023-01-11,,38.0,0.471875
2023-01-11,Batik Air,262.0,0.7052083333333333
2023-01-11,Wings Air,3.0,0.4354166666666667
2023-01-11,,11.0,0.44375
2023-01-11,Citilink,31.0,0.4645833333333333
2023-01-11,Lion Air,4.0,0.4364583333333333
2023-01-11,Batik Air,20.0,0.453125
2023-01-11,Citilink,8.0,0.440625
2023-01-11,,83.0,0.51875
2023-01-11,Garuda Indonesia,10.0,0.4427083333333333
2023-01-11,My Indo Airlines,9.0,0.4416666666666666
2023-01-11,Batik Air,11.0,0.44375
2023-01-12,Batik Air,8.0,0.440625
2023-01-12,NamAir,6.0,0.4385416666666666
2023-01-12,Wings Air,5.0,0.4375
2023-01-12,Batik Air,4.0,0.4364583333333333
2023-01-12,Batik Air,6.0,0.4385416666666666
2023-01-12,Garuda Indonesia,15.0,0.4479166666666667
2023-01-12,Lion Air,27.0,0.4604166666666666
2023-01-12,Batik Air,2.0,0.434375
2023-01-12,Citilink,18.0,0.4510416666666667
2023-01-12,Batik Air,2.0,0.434375
2023-01-12,Batik Air,5.0,0.4375
2023-01-12,Garuda Indonesia,4.0,0.4364583333333333
2023-01-12,Lion Air,3.0,0.4354166666666667
2023-01-12,Lion Air,39.0,0.4729166666666666
2023-01-12,NamAir,32.0,0.465625
2023-01-13,Citilink,53.0,0.4875
2023-01-13,Batik Air,20.0,0.453125
2023-01-13,Lion Air,44.0,0.478125
2023-01-13,Garuda Indonesia,18.0,0.4510416666666667
2023-01-13,Sriwijaya Air,11.0,0.44375
2023-01-13,Wings Air,8.0,0.440625
2023-01-13,Batik Air,6.0,0.4385416666666666
2023-01-13,,35.0,0.46875
2023-01-13,Batik Air,24.0,0.4572916666666666
2023-01-13,Citilink,10.0,0.4427083333333333
2023-01-13,Lion Air,14.0,0.446875
2023-01-13,Batik Air,12.0,0.4447916666666666
2023-01-13,Wings Air,1.0,0.4333333333333333
2023-01-13,Lion Air,4.0,0.4364583333333333
2023-01-13,NamAir,9.0,0.4416666666666666
2023-01-13,Citilink,33.0,0.4666666666666667
2023-01-13,Garuda Indonesia,10.0,0.4427083333333333
2023-01-14,Wings Air,3.0,0.4354166666666667
2023-01-14,Garuda Indonesia,14.0,0.446875
2023-01-14,,20.0,0.453125
2023-01-14,Lion Air,8.0,0.440625
2023-01-14,Lion Air,4.0,0.4364583333333333
2023-01-14,Batik Air,56.0,0.490625
2023-01-14,Citilink,40.0,0.4739583333333333
2023-01-14,Citilink,6.0,0.4385416666666666
2023-01-14,Batik Air,25.0,0.4583333333333333
2023-01-14,Lion Air,10.0,0.4427083333333333
2023-01-14,Batik Air,22.0,0.4552083333333333
2023-01-14,Garuda Indonesia,16.0,0.4489583333333333
2023-01-14,Lion Air,4.0,0.4364583333333333
2023-01-14,,48.0,0.4822916666666667
2023-01-14,Batik Air,18.0,0.4510416666666667
2023-01-14,Wings Air,4.0,0.4364583333333333
2023-01-14,Wings Air,43.0,0.4770833333333333
2023-01-15,Citilink,10.0,0.4427083333333333
2023-01-15,Lion Air,18.0,0.4510416666666667
2023-01-15,,13.0,0.4458333333333333
2023-01-15,My Indo Airlines,14.0,0.446875
2023-01-15,Batik Air,47.0,0.48125
2023-01-15,,57.0,0.4916666666666666
2023-01-15,Garuda Indonesia,4.0,0.4364583333333333
2023-01-15,Citilink,31.0,0.4645833333333333
2023-01-15,Batik Air,2.0,0.434375
2023-01-15,Batik Air,31.0,0.4645833333333333
2023-01-15,Wings Air,1.0,0.4333333333333333
2023-01-15,Lion Air,134.0,0.571875
2023-01-15,Batik Air,25.0,0.4583333333333333
2023-01-15,Garuda Indonesia,4.0,0.4364583333333333
2023-01-15,Lion Air,13.0,0.4458333333333333
2023-01-15,Lion Air,5.0,0.4375
2023-01-15,NamAir,47.0,0.48125
2023-01-15,Citilink,6.0,0.4385416666666666
2023-01-15,Garuda Indonesia,11.0,0.44375
2023-01-15,Lion Air,11.0,0.44375
2023-01-16,Citilink,5.0,0.4375
2023-01-16,Sriwijaya Air,50.0,0.484375
2023-01-16,Lion Air,53.0,0.4875
2023-01-16,Garuda Indonesia,9.0,0.4416666666666666
2023-01-16,,6.0,0.4385416666666666
2023-01-16,Batik Air,19.0,0.4520833333333333
2023-01-16,Wings Air,34.0,0.4677083333333333
2023-01-16,,101.0,0.5375
2023-01-16,Batik Air,43.0,0.4770833333333333
2023-01-16,Lion Air,7.0,0.4395833333333333
2023-01-16,Batik Air,23.0,0.45625
2023-01-16,Citilink,83.0,0.51875
2023-01-16,Wings Air,1.0,0.4333333333333333
2023-01-16,Lion Air,13.0,0.4458333333333333
2023-01-16,Garuda Indonesia,11.0,0.44375
2023-01-16,Batik Air,7.0,0.4395833333333333
2023-01-17,Citilink,32.0,0.465625
2023-01-17,,16.0,0.4489583333333333
2023-01-17,NamAir,1.0,0.4333333333333333
2023-01-17,Wings Air,4.0,0.4364583333333333
2023-01-17,Batik Air,30.0,0.4635416666666667
2023-01-17,Batik Air,1.0,0.4333333333333333
2023-01-17,Garuda Indonesia,25.0,0.4583333333333333
2023-01-17,Lion Air,3.0,0.4354166666666667
2023-01-17,Batik Air,3.0,0.4354166666666667
2023-01-17,,7.0,0.4395833333333333
2023-01-17,Wings Air,18.0,0.4510416666666667
2023-01-17,Batik Air,8.0,0.440625
2023-01-17,Batik Air,10.0,0.4427083333333333
2023-01-17,Wings Air,4.0,0.4364583333333333
2023-01-17,Garuda Indonesia,10.0,0.4427083333333333
2023-01-17,My Indo Airlines,79.0,0.5145833333333333
2023-01-17,NamAir,5.0,0.4375
2023-01-17,Citilink,19.0,0.4520833333333333
2023-01-17,Garuda Indonesia,4.0,0.4364583333333333
2023-01-17,Lion Air,18.0,0.4510416666666667
2023-01-18,Wings Air,12.0,0.4447916666666666
2023-01-18,Batik Air,6.0,0.4385416666666666
2023-01-18,Citilink,44.0,0.478125
2023-01-18,Wings Air,7.0,0.4395833333333333
2023-01-18,,46.0,0.4802083333333333
2023-01-18,Garuda Indonesia,2.0,0.434375
2023-01-18,Lion Air,29.0,0.4625
2023-01-18,Citilink,9.0,0.4416666666666666
2023-01-18,Lion Air,6.0,0.4385416666666666
2023-01-18,Batik Air,28.0,0.4614583333333333
2023-01-18,Batik Air,38.0,0.471875
2023-01-18,Batik Air,25.0,0.4583333333333333
2023-01-18,Garuda Indonesia,7.0,0.4395833333333333
2023-01-18,NamAir,1.0,0.4333333333333333
2023-01-18,Wings Air,2.0,0.434375
2023-01-18,Lion Air,11.0,0.44375
2023-01-18,My Indo Airlines,1.0,0.4333333333333333
2023-01-18,,21.0,0.4541666666666666
2023-01-18,Batik Air,2.0,0.434375
2023-01-18,Citilink,7.0,0.4395833333333333
2023-01-19,Citilink,55.0,0.4895833333333333
2023-01-19,Batik Air,25.0,0.4583333333333333
2023-01-19,Wings Air,1.0,0.4333333333333333
2023-01-19,Batik Air,3.0,0.4354166666666667
2023-01-19,,11.0,0.44375
2023-01-19,Lion Air,40.0,0.4739583333333333
